,Name,code,Team,Chance of playing next round,Predicted Points,Live cost
68,Jaden Philogene-Bidace,481624,2,,[-0.053454089141120376],4.4
70,Adam Lallana,39155,3,100.0,[1.8087948765527089],6.2
71,Pascal Groß,60307,3,,[1.3169254635083723],5.8
73,Davy Pröpper,66242,3,100.0,[0.3971046120951164],4.7
74,Aaron Mooy,74471,3,0.0,[-0.053454089141120376],5.0
79,Solomon March,109345,3,0.0,[1.780196808442263],4.9
83,Leandro Trossard,116216,3,100.0,[1.992252795545242],5.7
84,Alireza Jahanbakhsh,165210,3,100.0,[0.25369486313516987],5.4
85,José Izquierdo,167473,3,100.0,[-0.0228266887402141],5.5
89,Yves Bissouma,227127,3,100.0,[2.180012757749333],4.4
92,Steven Alzate,235382,3,100.0,[0.5227904826146191],4.2
93,Alexis Mac Allister,243016,3,100.0,[0.7644470077047256],5.3
96,Jayson Molumby,220738,3,0.0,[-0.02923699796047902],4.5
100,Percy Tau,230127,3,75.0,[0.11495860943194566],4.9
101,Jakub Moder,243505,3,100.0,[0.26427241154823367],5.0
102,Reda Khadra,465572,3,,[-0.02589390103093301],4.5
103,Teddy Jenks,244848,3,,[-0.053454089141120376],4.5
104,Max Sanders,215062,3,0.0,[-0.053454089141120376],4.5
105,Jensen Weir,440241,3,,[-0.053454089141120376],4.5
108,Moisés Caicedo,486672,3,,[-0.053454089141120376],5.0
109,Dale Stephens,40845,4,100.0,[0.3234013949716791],4.2
113,Jack Cork,40145,4,100.0,[0.7730367987486634],5.0
118,Ashley Westwood,60551,4,100.0,[2.4222204902144933],5.3
119,Johann Berg Gudmundsson,60586,4,100.0,[1.7252678110447601],5.4
124,Robbie Brady,90517,4,0.0,[0.3897075847554239],5.0
127,Josh Brownhill,172782,4,100.0,[2.3146949538944037],4.9
129,Dwight McNeil,433154,4,100.0,[2.5053995239876814],5.7
132,Josh Benson,217401,4,,[0.30953233472151326],4.4
134,Mace Goodridge,195064,4,0.0,[-0.053454089141120376],4.5
138,Anthony Mancini,465299,4,,[-0.053454089141120376],4.4
145,Jorge Luiz Frello Filho,85955,5,100.0,[1.3693226251389794],4.7
146,Mateo Kovacic,91651,5,50.0,[0.9275268354111258],5.3
151,N'Golo Kanté,116594,5,100.0,[0.6724317491727753],4.9
152,Hakim Ziyech,124183,5,100.0,[-0.26129516342364284],7.9
156,Christian Pulisic,176413,5,100.0,[1.371508865165239],8.3
157,Mason Mount,184341,5,,[2.1170610641719803],7.3
159,Callum Hudson-Odoi,209046,5,100.0,[0.7436545187420077],5.7
161,Billy Gilmour,243568,5,100.0,[0.031840464500085236],4.3
164,Kai Havertz,219847,5,100.0,[0.6331818169035284],8.2
167,Faustino Anjorin,223332,5,,[-0.053454089141120376],4.5
174,James McArthur,50471,6,0.0,[1.2332296459006484],5.2
175,James McCarthy,50472,6,100.0,[0.6178785872430855],4.3
177,Cheikhou Kouyaté,55037,6,,[3.3116307096720776],4.8
181,Andros Townsend,60252,6,,[1.9483734238876613],5.5
182,Luka Milivojevic,66975,6,100.0,[1.74646526148883],5.6
185,Wilfried Zaha,82403,6,100.0,[3.28082953623644],7.1
186,Jeffrey Schlupp,86417,6,100.0,[1.019004207276897],5.3
187,Max Meyer,141020,6,0.0,[-0.053454089141120376],4.7
188,Jairo Riedewald,173954,6,100.0,[2.092940599710242],4.4
191,Brandon Pierrick,466955,6,0.0,[-0.053454089141120376],4.3
193,Eberechi Eze,232413,6,100.0,[2.521492588128579],5.8
201,Jesurun Rak-Sakyi,450542,6,,[-0.053454089141120376],4.5
202,Fabian Delph,41823,7,100.0,[0.2565978778142365],4.8
203,Gylfi Sigurdsson,55422,7,100.0,[2.48854915718358],6.9
207,Bernard Anício Caldeira Duarte,100649,7,100.0,[0.24133416245473782],5.7
211,André Filipe Tavares Gomes,120250,7,100.0,[1.2236210585435903],5.3
212,Alex Iwobi,153133,7,100.0,[1.5562073536439518],5.9
214,Jean-Philippe Gbamin,160987,7,0.0,[-0.017777375555475095],5.0
216,Tom Davies,173807,7,100.0,[1.1000980369213016],5.2
221,Anthony Gordon,232826,7,0.0,[0.11754338802585035],4.3
224,Allan Marques Loureiro,119765,7,100.0,[1.2153656284461902],5.2
225,James Rodríguez,60025,7,100.0,[2.0935313137517744],7.7
226,Abdoulaye Doucouré,121599,7,0.0,[1.6512702050448962],5.1
231,Tyler Onyango,461446,7,,[-0.053454089141120376],4.5
234,Nathan Broadhead,173818,7,,[-0.028375405095844127],4.5
238,Isaac Price,491559,7,,[-0.053454089141120376],4.5
239,Ruben Loftus-Cheek,126187,8,0.0,[1.2691397016729333],5.9
241,Kevin McDonald,55038,8,0.0,[-0.053454089141120376],4.7
243,Stefan Johansen,61916,8,0.0,[-0.053454089141120376],4.7
244,Tom Cairney,76357,8,0.0,[0.8417678826355935],5.2
246,Anthony Knockaert,83543,8,0.0,[-0.053454089141120376],5.0
249,Neeskens Kebano,92259,8,0.0,[0.21714598606212965],4.7
