,Name,code,Team,Chance of playing next round,Predicted Points,Live cost
88,Tariq Lamptey,232792,3,75.0,[1.8120611975924694],4.6
105,Michal Karbownik,442229,3,,[0.3330432649732895],4.5
108,James Tarkowski,17761,4,100.0,[3.820931905056878],5.3
109,Phil Bardsley,17997,4,100.0,[0.04486675896707837],4.4
110,Erik Pieters,39487,4,50.0,[1.8570559073888606],4.3
112,Kevin Long,41674,4,100.0,[0.6712126274409074],4.3
115,Ben Mee,51927,4,100.0,[3.8369939140818268],5.1
119,Matthew Lowton,68983,4,100.0,[3.655257473120393],4.5
121,Ben Gibson,83312,4,0.0,[-0.2014642746257449],3.9
124,Charlie Taylor,103914,4,100.0,[2.852682752905146],4.4
128,Jimmy Dunne,218023,4,100.0,[0.341859901501369],3.8
129,Bobby Thomas,461102,4,0.0,[-0.2014642746257449],3.9
131,Anthony Driscoll-Glennon,195471,4,,[-0.2014642746257449],4.0
138,Richard Nartey,184259,4,,[-0.2014642746257449],4.0
140,César Azpilicueta,41328,5,,[2.794419435535794],5.7
142,Marcos Alonso,82263,5,,[1.168677381326217],5.7
145,Antonio Rüdiger,102380,5,,[1.860844135616511],4.6
146,Kurt Zouma,103192,5,100.0,[3.7824263687654334],5.4
147,Emerson Palmieri dos Santos,109533,5,,[-0.010754592789443684],4.7
151,Andreas Christensen,135363,5,100.0,[0.25518841692691296],4.7
156,Fikayo Tomori,194794,5,0.0,[-0.27247158834099183],4.7
158,Reece James,225796,5,100.0,[2.8857780413668515],5.0
160,Benjamin Chilwell,172850,5,100.0,[3.62643862444457],5.8
161,Thiago Thiago,51090,5,50.0,[3.5968692474027635],5.6
167,Gary Cahill,19419,6,100.0,[1.5382916910380662],4.5
169,Mamadou Sakho,40784,6,0.0,[0.617818225389998],4.4
171,James Tomkins,49413,6,0.0,[1.2091054340685323],4.4
176,Joel Ward,55494,6,100.0,[1.9462989679983214],4.3
177,Martin Kelly,58786,6,100.0,[0.16857940663512494],4.1
181,Patrick van Aanholt,74230,6,100.0,[1.9355746294920142],5.4
187,Nathan Ferguson,232423,6,0.0,[0.16857940663512494],3.8
188,Tyrick Mitchell,244723,6,100.0,[2.0912247385970097],3.9
190,Scott Dann,19188,6,100.0,[1.8873186056908873],4.3
192,Sam Woods,221272,6,0.0,[0.16857940663512494],4.0
193,Ryan Inniss,114536,6,0.0,[0.16857940663512494],4.0
194,Nathaniel Clyne,57328,6,25.0,[1.7530667924625325],4.5
201,Seamus Coleman,59949,7,100.0,[1.8192311284672458],4.8
204,Lucas Digne,101188,7,100.0,[2.572821260346851],6.1
205,Michael Keane,106611,7,,[4.213902281438666],5.1
209,Jonjoe Kenny,153673,7,0.0,[0.39159583868983994],4.3
211,Yerry Mina,164511,7,0.0,[3.1519921280794625],5.5
214,Mason Holgate,194164,7,100.0,[2.4094664983028498],4.8
219,Jarrad Branthwaite,480455,7,0.0,[0.16857940663512494],3.9
223,Niels Nkounkou,495542,7,100.0,[0.15285690269343322],4.0
224,Ben Godfrey,198826,7,100.0,[2.073878677774239],5.0
232,Maxime Le Marchand,61739,8,0.0,[-0.02508999706803694],4.1
235,Tim Ream,82514,8,,[0.6368261875665704],4.2
237,Michael Hector,84915,8,,[0.4268621462748623],4.1
238,Cyrus Christie,87107,8,0.0,[0.11375812052240386],4.2
241,Joe Bryan,101105,8,,[0.8797726280597988],4.6
244,Alfie Mawson,149266,8,0.0,[0.11375812052240386],4.3
251,Zeze Steven Sessegnon,208998,8,0.0,[0.11375812052240386],4.3
253,Antonee Robinson,169528,8,100.0,[2.2494501886920206],4.4
256,Kenny Tete,167074,8,100.0,[1.868338433737024],4.3
257,Denis Odoi,72681,8,,[0.5192384654819775],4.2
259,Ola Aina,159506,8,,[3.884317206197543],4.5
260,Joachim Andersen,174874,8,100.0,[3.0425494761468297],4.5
261,Tosin Adarabioyo,109646,8,,[3.502651427226877],4.5
262,Terence Kongolo,109434,8,100.0,[0.11375812052240386],4.3
264,Wes Morgan,15033,9,0.0,[0.00897512458480998],4.4
266,Christian Fuchs,37402,9,100.0,[0.9993057508256613],4.5
267,Jonny Evans,37642,9,100.0,[3.0059121297554787],5.5
